Title_of_the_Review,Review_of_the_movie
A huge dud,"This is the first Marvel film since 2012's The Avengers that I would call a big dud. The reasons for its failure are many; the reasons that it almost succeeds are exactly two: Nora Lum (Awkwafina) and Ben Kingsley. Aside from these two shining points of light, the film's an energetic flop.

The main reason for the failure is the script. Now, I have been watching movies for five decades, and I can tell when a film is paying homage to another film, and when it's just ripping off the ideas of a better movie. This 'script' rips off a series of better movies, starting with Deadpool 2, then Fight Club, then Skyfall, then Avatar, and probably a bunch of other action films I never saw. Along the way, we are asked to accept a silly premise that these magic rings and the bad guy wearing them have existed for a thousand years. Nope. Just a dumb idea. One look at his gleaming and perfect thousand year old teeth and the whole thing falls apart. The film never recovers from that.

Next, there is the spectacularly bad directorial choice (from the aptly named Destin Cretton) to have all the actors in the film display no emotions with their faces whatsoever. As mentioned above, the sole exceptions are Awkwafina and Kingsley. Every other actor, AND ESPEICALLY PRETTY-BOY LEAD SIMU LIU, seems to be a star graduate from the Kristin Stewart school of blank stares. Boo. Maybe Cretton was going for Inscrutable, but all we see is Constipated.

The fight scenes are all generic karate video game stuff, boring at first glance, but unbearably dull after two hours. The music by Joel West is one blaring trumpet after another, so forgettable that I can't remember anything except constant boring noise.

The production design is wonderful, as we expect from Marvel: sets dripping in vivid color, crisp and exciting visuals, wonderful costumes. There are many beautiful and talented Asian actors on display here, but the script is so awful that I felt embarrassed for them. As I said, Awkwafina and Ben Kingsley save this film from being a complete flop, and their two performances are so wonderful that I am almost willing to let the rest of the garbage slide.

Almost."
Comedy or action movie?,"I wasn't sure if I was watching a childish comedy or action movie. I mean the first guardians of the galaxy had the perfect joke/serious mix in my opinion but this movie was constantly making me cringe and uncomfortable. The CGI was great but that is pretty much the only positive side of this movie in my opinion... In terms of story I was surprised there was no deeper background on where the rings actually came from, I'm not saying it needs to be in the movie but just something I missed.

I noticed a lot of people enjoyed this movie when I was in the theaters, so I am happy a lot of people actually enjoyed this movie. I guess marvel is not for me anymore.

This is MY opinion :)"
Asian Sensation!!,"As an Asian, this movie hit me in the feels hard...All the cast and team members did a stupendous job from visual effects to martial arts action. What else to expect from Marvel? Best movie of 2021 so far. 👏👏👏👏👏👏👏"
This movie is awesome,"This movie is awesome, i can't say one bad thing about it, the choreography is good, the writing is good, the.antagonist is good, everything is good!"
Showcases the best of Marvel,"Action packed and adventurous, a must-see. I look forward to seeing more of their stories and how they'll fit into the Marvel universe with other heroes."
"As a Chinese, I can tell this might be the best Asian-style Hollywood movie they have ever made","Tbh I really didn't have a lot of expectations going into this movie because I was disappointed with the stereotype multiple times but hell yea I absolutely LOVED this movie! (especially Hong Kong films martial arts prototype and the other fight choreography)

I have no doubt to these actor since I know them all (Awkwafina's role could be better). They did put a lot of effort into mythology although it's a bit weird. Well done marvel!"
Excellent,"I went in not knowing much about Shang-Chi or the ten rings for that matter. I wasn't expecting much but I was wrong, and I am glad I was. Great story, great cast and probably one of the best Marvel films done so far. Recommend taking the time out to see it if you are a fan of marvel/comic book movies/heroes."
Watch in theatres,"I am so glad theatres are open where I live and what a visual treat this movie is, from the characters to the battles and everything, This movies is a must watch in theatres (sorry for bad English)"
Money well spent,"Good work. Lots of money was given to the right people to create the right movie. From choreography, to story, to cinematography, nothing disappointed. Top 5 marvel movie for me HANDS DOWN."
Far better than expected,"I thought I'd like the film, but I didn't expect it to be one of my all-time favorite MCU movies! It's a mix of Crouching Tiger, Hidden Dragon and anything Jackie Chan. The action in this movie is as good as you've read, and easily the best action in any MCU film to date. Simu Liu is awesome, but the ending is so epic it's definitely worth the price of admission. As an English teacher I loved the self-aware reference to Macbeth, but the film does a fantastic job completing the hero's journey. Great job Marvel, you've done it yet again."
Beyond expectations,"When I thought this is just another marvel movies, Shang-Chi is beyond my expectation!"
no online streaming it's hard to watch during this pandemic,"Very satisfied when watching at the cinema, but still very difficult when watching it at home. At first I underestimated this film, I thought it would be bad, but I was totally wrong. A very good film, the CGI visual effects are very capable and rich. I will watch it for the 2nd time. 9/10 for me. I'm satisfied."
Shang chi saves 2021,"The movie provides an excellent experience for the whole family. One of the best, if not the best, origin stories in the MCU. Amazing cameos and mind-blowing action. This one is for any die-hard marvel lover or action seeker. The Actors produced some of the best on-screen performances we have ever seen in an MCU movie. Keep up the excellent work exciting times head for the super hero movie lovers."
Worst Marvel movie ever,
"After Black Panther, it's time for Asians to take centerstage!","Awesome! I enjoyed it a lot. Visually entertaining. This is the best from Marvel since the End Game!

Asians rule! I just wish they included more cast from North East and South East Asia! It would have been an even better representation!

10/10! A great labor day weekend movie treat!"
Visually perfect,"The movie was funny, full of action and very wel made. Will definitely watch it in the cinema again."
Solid movie!,Kudos Marvel for having the guts to make this film.
Fantastic story that pulled me in every step of the way,"I don't give 10/10 stars on most things but this was close. The thing that makes this different from a bunch of other superhero movies is that halfway through the movie I was already invested in the characters. Most origin movies focus on one or two characters to make you understand where they're coming from to prepare you for the sequel. But in this it was clear that the characters were all people with great depth. Comparing this to other marvel origin movies I would say that this one takes the cake, each and every one on one fight scene felt so tense and also like a dance. The cinematography was also brilliant, I could tell what characters were thinking and how they felt from angles and hue alone. I also really enjoyed how the movie wasn't all about Shang-Chi but it was also about all the other characters in his life and how they related to the situations they were in with him. With all this said I have to say that my favourite part was how invested I felt with several of the characters, I could understand the villains, Shang-Chi, and all the other main cast. They made it clear what they were thinking sometimes without any words, or saying something else.

Shang-Chi: welcome to the MCU, I am so excited to see what comes next."
Underestimated,I saw all the trailers and all the press for the movie but wasn't that hyped for it if I'm being honest. Then I saw the movie and I must say...expectations were blown out of the water. The movie was great and something quite unique and refreshing for the mcu. I thoroughly enjoyed this movie and would recommend.
This is a master blaster.,I have witnessed something way beyond my expectations. This movie is fully action packed and well directed. Surely this is best part 1 movie of any franchise.
"Awesome, not a common ""Marvel""","As a Marvel hater I want to say this films is awesome, is not the terrible ""joke every 5 minutes"". I loved it, all the action and history is interesting."
Amazing movie,I really enjoyed the film. I thought that it was emotional just as it was funny and will most likely see again!
At its best when it's grounded,"The simple, well choreographed fights were FAR better than any CGI battle-mess which unfortunately took over the movie in the 3rd act. Decent characters and mediocre at-BEST lore make this a forgettable entry into the MCU."
0/10,"Makes no sense, áll the scenes took so long, if you don't count these useless long shots, the movie would take 30 minutes. Horrible."
The problem with this movie,"The problem with this movie is not that was that bad except few scenes , but was too boring - not interesting !"
Generally Not Recommending!,"Movie like this is way better to watch on streaming than on cinema, i'm actually regretting going to watch this. While Suicide Squad was at least something new for DC, Shang-Chi was absolutely nothing new for Marvel."
Loved it,"Movie was jam packed with great choreography , visual effects and story.

Some parts pacing was too slow but in general a great movie!"
"It's like a 80's kung-fu movie of old (well, mostly)",
What the actual f ***,"Do not watch this movie, i repeat - do not watch this movie. You will never get these 2 hours back. Do not believe the high ratings - they must be fake. I cannot even believe why someone would rate this anywhere near 10. This is far under 5 in my book. Jesus............"
1 for the comedy.,"First Marvel movie I've thought about walking out of. Sit through nearly 2 hours of over explanation and a very slow moving plot and then experience the warbling furry talking animal reminiscent of the porgs from Disney'd Starwars. The amount of high rated reviews is very suspicious. Definitely not the best marvel movie, only a couple of scenes even felt like a marvel movie."
Just my review,"Don't believe positive reviews that try to hype up this movie. Unlike them, i actually went to cinema to watch it and it was possibly most generic mcu movie i have ever seen. Just cause movie has some cool new visual effects, doesn't automatically mean it has depth or interesting characters."
One of the best move ever.,
Pretty decent watch,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.

The film itself while not perfect was a really good watch and way more enjoyable then black widow.

Ben Kingsley was a lot better here then he was in Iron Man 3.

The acting was good.

The effects were cool.

I definitely recommend it."
"Lots to love, but feeling very formula","There are so many cool things about this movie, but they forgot to flesh out the characters a little bit. In particularly how Shang Chi even uses or gets his power. All of it very convenient and feels kinda manufactured for the purpose of having cool fights and special effects. Those however I will say are exceptional. And for and origin story it turned out pretty cool how they layered in the character development through out. Loved seeing something culturally and visually different. This was WAY better than Eternals."
Disappointed Marvel Fan,"I am a huge marvel fan. My kids young and old are all huge marvel/super hero fans. I have seen every marvel movie multiple times, and just finished binge watching all of them in chronological order again recently. This movie started out a little funny and felt like it was going to be a good action flick once the fight scene started in the bus, despite some iffy cgi and the guy with the machete hand. It didnt take too long to realize that was one of the few good scenes in the movie. Dont get me wrong the fight scenes are done nicely, but they seem to drawn out to long. It all just fell flat. This is the first marvel movie that I didnt make it to see in theaters.... I even made it to black widow. Im glad I didnt make it for this one. I was beyond bored with the drawn out fight scenes, some of which werent needed, and lack of engaging dialogue. I never once felt connected or invested in any one character. I ended up turning it turned if off a little more than half way through. I have never done that with a marvel movie, even if ive seen it a dozen times before. I may try again sometime but doubt it."
Was alright,
Legendary,
Beyond my expectations,"Such a beautiful movie, everything is great. I'm usually not a huge fan of fighting sequences, but let me tell you, this movie is different. Everything about Shang-Chi gets you hooked. The actors are doing a great job, and the storyline is just spectacular. It's like those crazy ideas you think of, before realizing it's a little too chaotic. This movie does that, but makes it good and executable. The only thing I'd change about the movie is the VFX. Don't get me wrong, they're quite the vision, but they don't look too realistic. All in all, still a solid 9/10."
Top notch,This movie has the best and fresh action scenes. Marvel never lets you down in terms of expactations. Loved it completely.
Best. Marvel. Movie. Yet.,"This movie had it all. It had great action and humor (which you would expect from a Marvel movie), but it was also so well-layered with complex characters, compelling themes, and respect for Asian culture. I found myself laughing and crying at this movie. I also loved the guest appearance from an old character long forgotten and some amazing creatures. This movie deserves all the praise it can get."
Paint by numbers superhero movie,"It was ok. Nothing new, but that's what Marvel does, churns out the same story over an over."
It's very entertaining,Visually it's one of the most interesting and amazing films from the MCU. But the script is really bad and poor.
JUST AMAZING,"Loved it all. The comedy, the story, the acting, the special effects. A new character of Marvel with a lot of potencial. Hope to see a lot more of this in next movies."
Entertaining but that's it - why the hype?,"This is a beautiful movie, and it is entertaining. However the plot could not be more basic and the characters development more limited to what they could fit in between action scenes. All of this alongside some quite weird choices as to make Shaun's friend an essential character to the development of the story for future movies when she has no reason to be part of it at all, other than for being a liability... so all in all, I had a good time at the movie, but that's it. I reserve my good notes for movies that really deserve them."
Good looking and good feeling movie.,"It was fun, beautiful, and different. Very watchable and rewatchable which is an important quality in action movies. Go see it while it's in the theater because it is a pretty set film best seen on the big screen."
The story is good but there is problems with other aspects of this movie.,"The best aspects of this movie is hand to hand combats(without the rings) and Simu Liu is awesome in it and embraces the character. The story is good if consider standalone which it is but I have problems with other aspects of movie elements. The entire movie is shooted in closed studio environment with huge set pieces (Marvel is doing such things for last many movies e.g, the last 2 Avengers movies). It is very very very stupid to look at and the non sensical vfx. Still remember the first Iron man movie in which the original and vfx elements are hard to distinguish and have had a good balance in reality and fantasy world. The movie is forcing the humours too in some cases. In some case they tried to mimic Crouching Tiger Hidden Dragon. This movie certainly have some asian vibe in movie making style but I think there were manipulation in making by studio over creator. The music of the movie is good. Overall it's a good movie. I am going to give any special attention for other upcoming marvel movies( Maybe because I left behind my fantasy world). I think there will not be any 'Classic' from marvel in upcoming future."
A different kind of Marvel movie,Was a great time. A lot of action. Very good story. It's a different feel than other Marvel movies.
End-of-your-seat actions,"Saw this on opening night and it was soooo worth it! Amazing fighting sequences and choreography, amazing cinematography, amazing acting (especially by legendary Tony Leung), and the storyline is interesting and moving. Lots of LOL moments and surprise guest appearances. I rarely pay the $15 to see a movie in the theater but this one I will do again!"
"Beautiful, imaginative, and refreshing.","The action, martial arts, and cinematography is top-notch. I find myself nodding in awe and saying ""wow"" in many scenes. I'm left craving for more action. I love the idea of power being combined with skill. The martial arts element really adds creativity and a whole new world of moves and skills open up. It's not a bunch of powerful people throwing out nonstop blasts or a strong thing throwing brute punching left and right.

The world is beautiful. The musical guides you. The tone filled with art and symbolism. Beautiful all around. And shoutout to Ronny Chieng! Seeing him make an appearance was pretty funny.

With some of the weaker elements I will have to point to the pacing. There were a few moments that felt dragged out or unnecessary. Some screen time was given to certain characters that didn't need it and they should focus a little more time on certain relationships.

Overall I enjoyed the movie and lot and was left craving for more."
"Magic, rings and comedy 😍",
Fantastic Movie,"I finally took the plunge and went to cinema for the first time since 2019. The movie was highly entertaining with engaging characters and a good story too. The action and fights scenes seemed very well choreographed and the special effects were a joy to experience on the big screen.

It was a Marvel film that didn't feel like a Marvel film, which shows how versatile the MCU is becoming.

I was highly impressed to see and hear characters speak in their native language, a risk as many people don't like to read subtitles, but being an avid fan of Asian cinema I was quite happy and comfortable to do so.

Overall, a highly entertaining and fun film from Marvel.

I highly recommend it. A+++"
Awsome Screen,"Really nice concept with great Direction, teams work & VFX. I really enjoy the movie 🤗"
"Fun, Exciting, Culture Rich","Its was great, finally after so long we got to experience good origins story. I know kevin feige will nailed it even after lot of people thought its gonna flop.

The movie is like a mixture between western and eastern culture afterall the protagonist is an asian living in american.

The raw choreography is the best in the MCU, better than Winter Soldier. The CGI fights is not bad but i think they should do more of the raw realistic fight scene more because its the most appealing part of the movie.

Tony Leung is so charismatic even if he is a villain, i can feel sympathetic to his character. The new mythology is cool, the fantastic beast is awesome too I hope we can see a sequels."
It was more than I expected!,"As an Asian-American, I am no stranger to the cliche martial art scenes and corniness of it all. I went in fully expecting everything about this movie to be cheesy and cliche like Mulan was. Boy, was I wrong! Shang-Chi was so beautifully written, acted, and directed! I really want to give a huge shout out to the directors for their incorporation of Asian culture into this movie without making everything a cliche or a punch-line. I teared up watching people who looked like me be the main actors on a big screen and not the punch-line of a joke.

Now, onto the story, the story was alright. It wasn't the best, but it's an introductory movie to the hero so not much to expect there other than your typical hero introductory tropes.

The OST's of this movie were off the charts! I really enjoyed the music they had and think they nailed it.

Need I say more about the acting? Tony Leung, Sima Liu, Awkwafina, Michelle Yeoh...These are the best of the best for Asian American actors and they nailed every scene they had in the movie!

Lastly, I absolutely loved the cinematography and the fight scenes. They were well thought out and choreographed. It didn't seem cheesy or corny. Thank you Marvel for making this movie and paying homage to Asian Americans. This movie will be one that I will never forget!"
"Overhyped, Better than Average MCU Movie.",
Beautifully stunning action story tale,"As a huge fan of the IP Man and Marvel movies I feel that this movie was a beautiful balance between insane action and beautiful backdrops and wonderful mystical powers. Growing up watching old-school kung fu movies and then finding superhero movies on my own and loving them, I feel this movie is a perfect blend of everything I want from modern action cinema."
Best Solo Origin Movie After Dr. Strange,"Watched it yesterday. Overall the movie was wonderful. MCU put everything so perfectly. The cast, visuals, CGI everything was on pinpoint. Every Characters performance was brilliant. I need to mention this because without this character the movie would not be that interesting and that role is played by Awkwafina as Katy. Her comic timing was so good. And as always marvel surprised me to have the villain as Tony Chiu-Wai Leung as as Xu Wenwu. His performance was brilliant along with our new hero Simu Liu as Shang Chi.

Definitely worth of time. Go watch the movie in the theatre and don't spoil."
Favorite Marvel origin film yet,"Shang-Chi was BEYOND my expectations. Some of the best acting, fight choreography, and visual effects I've seen from Marvel in a while. The story itself had so much heart."
New realm of marvel entertainment,"If you are a fan of the character, you will love it, marvel is opening up to new realms and its going to be intense... next up eternals let's go!!!"
Superb,"Absolutely fantastic! Just don't miss it on big screen, i'd say. Moderation of comedy punches, action and katy has my 💕heart! Superb!!!!!!"
Absolutely Amazing,"I thoroughly enjoyed this movie, it was so awesome. Definitely recommend seeing it in the theater. Watch through the credits, there's two Post-Credit Scenes!"
Absolutely Amazing!,"I can't express to you how amazingly beautiful this movie is. You need to watch it for yourself! Excellently choreography, awesome blend of humor, drama and action. I was beginning to think there was no place for martial artists in marvel after iron fist, I was proved wrong. Hopefully we get several more 👍👍"
Best movie of 2021 so far.,"Awesome fights.

Awesome graphics.

Awesome music.

Awesome 👍 movie.

Music & fight sequences are the best.

Personally second best solo hero movie of Marvel after Ironman."
I loved this movie,Great story and it's totally worth seeing it was one of the best marvel movies i have ever seen.
Not disappointed,So far one of the best movies that I have seen in recent years. One of my 10 tops.
A true action fantasy movie,This movie is very amazing. The special effect and martial arts stunt are very beautiful. This is one the best movie from Marvel. A must to see the movie 2 times.
Shang-Chi - SATs Hero Movie!,"The movie was so in point - from the standard parent reference around doing better, around the typical girls and boys can't be friends they must get married at some point the the we can be responsible orrrrrr...

Honestly - this has hit me on another level with how relative to our culture it is! So well done - so authentic to marvel!!! And it's just the beginning!!!!!!!!"
Best movie ever!!,"One of my favourite marvel movies, can't get over how good it was. Simu Liu ( Shang-chi himself) did such an amazing job along with the rest of the cast."
Go Watch It!,
Best Movie of MCU,First review ever. All I have to say is you need to see the phenomenon for yourself.
Spectacular,"The story telling, the act of Tony Leung, the Chinese elements this time are really authentic and didn't make me feel weird for I believe the very first time from watching the Hollywood movie, whether it's the creatures, family relationships, even the language speaking this time is really legit. This is such a great movie."
I really like the movie,I went to the cinema with 0 hype and i get impressed.
Really enjoyed!,"Top 5 Marvel movies for me. I loved the action and fight scenes, music, cinematography and set colors, and the humor. I genuinely liked the main characters and rooted for them. It's 100% worth seeing! I want to see it a second time."
Fun Night at the Movies!,"Smart, Funny, and Beautiful, hits the right strings with a good pace. Awkwafina's Katy really grows in the film and grows on you. Solid performances from legendary Yeoh and Leung. Although most of the movie it's easy to forget it's in the MCU, Fun callback to a previously thrown away character and also a nice bridge to known elements of the MCU. Plenty of new fare for figuring out the next phase of the MCU (and multiverse?). Two end credit scenes so stick around."
Great!,This was a great movie. I really enjoyed it from start to finish.
"Soo good, especially the soundtrack","The movie was very good, especially the soundtrack!! It was unique unlike other marvel movies which has a generic soundtrack. Highly recommend yall watch this in theaters."
Good,"Good film. There were some places that seemed superfluous or unnecessary, but this did not affect the fact that the film is wonderful!"
Worst Marvel film,If this is considered a good Marvel movie then Marvel is in big trouble. Completely unoriginal.
...and just when you think you've seen all that Marvel has to offer...,"Marvel, you sneaky SOBs, is there nothing - I mean NOTHING at all - that you can't turn your hands to? I'll be the first to admit that I was very sceptical about what really amounts to a glorified Kung Fu movie finding its place in the MCU. I need not have worried. Shang Chi sits right up there with the very best Marvel has on show.

Simu Liu and the ever wonderful Akwafina make a fantastic duo and the addition of the queenly Michelle Yeo and the wonderful Tony Leung is the icing on the cake. It's exciting, adventurous fun. So go see it, you definitely won't regret it!"
One of the best films Marvel as ever made!,
ABSOLUTELY BRILLIANT!!!!!,"This film...is just brilliant without spoilers there's not much for me to say.

Overall 9/10."
Would Recommended,The movie had a generic story but Really cool cinematography and fighting choreography with a couple references to some classic kung fu movies. Acting was good overall with some beautiful synergy between some characters.
My eyes couldn't handle the sheer awesomeness on the screen,"Watch this in IMAX!!!! The entire movie has an expanded aspect ratio. You're watching about 70% of the image on normal screens, plus on way smaller screens with worse speakers. I promise, it's worth it.

WOWOWOWOWOW. This movie blew me away. I love it. A LOT. From beginning to end. Everything. I walked out of the movie so hyped, silent-screaming under my mask as I walked to the car. It's been a while since I walked out of a movie this happy. I have so much to say.

I love the MCU (a lot), but there are a few things that are frequently lacking. One of them is good fight scenes. They always have awesome action scenes, but specifically fight scenes are usually pretty good, only great in a few movies like Civil War and Winter Soldier. And for the most part, fight scenes in American movies pale in comparison to Asian cinema (Ip man, The Raid Redemption, anything Jackie Chan).

The fight scenes in this movie.... how do I describe it... amazing martial arts that's fast but clear, filmed in creative and astonishing ways without a hint of shaky cam or quick cuts, against stunningly beautiful backdrops... phenomenal. And they continuously focus on the fights instead of cutting to a different scene after 5 seconds like I've noticed in the MCU.

This is BY FAR the best fighting in the MCU and it's not even close. It has to be up there with the John Wick series and Netflix's Daredevil as some of the best we've seen in America lately. I loved the first major fight scene so much that I was worried it would be the best one of the movie, far too early. Lol. I be stupid sometimes. They're all amazing.

Another frequent flaw in the MCU is lack of compelling villain. Nope. The villain has full depth with clear motivations you can sympathize with. Cool, charismatic, intimidating, and formidable. Everything you want in a villain.

Another area of improvement is the musical scores. Most of them don't stand out. I think they learned. They're on a good streak with the shows and Black Widow. And now this. Not only is it a great score, it fits perfectly in the movie and the individual scenes/moments. It's not as amazing as the Loki score but it definitely elevated the movie. It feels unique to this new franchise.

Still so much more to say, need to go faster. This is one of the best, maybe THE best, story in the MCU, especially the way it's told. Flashbacks can slow down a movie, but here they are some of the best scenes.

I loved all the characters, I loved all the casting choices, I loved the performances. There are scenes of dialogue that gave me goosebumps. All the emotional moments hit. All the callbacks hit. There isn't anything that didn't work for me. It fires on all cylinders.

Lmao I didn't mention the cinematography. Why would I wait this long? It's MESMERIZING. A lot. Throughout. It's candy for your eyes.

It's also nice to see well-written comedy with jokes relevant to the scene and characters. It feels organic. As opposed to the ""insert joke here"" method we've been seeing more of, especially in Far From Home.

What's the opposite of formulaic? That's this movie. I never knew what to expect next (helps that I didn't watch a single trailer, they ruin movies). Definitely doesn't feel like a typical MCU movie. It has it's own unique tone and feel and character.

Continuing what I said in my headline, I have this thing where I get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes. I don't know why it happens, don't know if it happens to other people. Maybe it's partly because I can't risk blinking. That happened in this movie numerous times. Like, ""this is the coolest thing I've ever seen in my life."" Hyperbole, but mannnnn.

After Endgame (basically) finished phase 3, I was so happy and satisfied with the MCU. But I wasn't sure they could ever recapture that magic again. I knew I would watch everything and it would probably mostly be awesome. But I wasn't expecting top-tier stuff any more. Lol. I be stupid sometimes. I am ecstatic to have that notion obliterated. As of now, this is a top 6 MCU movie for me. Wow.

All in all, I adore this movie. You may wonder why I wouldn't give it a 10 after all this raving. 10s are super rare for me, only 13 of them, and I watch thousands of movies. Interstellar, Inception, Mad Max Fury Road, etc. Movies that shouldn't even be called movies. My 9s are rare too, they are my favorite movies. 10s are my favorites of my favorites. The only superhero movies I've given 10s are The Dark Knight, The Dark Knight Rises and Civil War.

If you're still reading, wow you're awesome! I think this is my longest review other than Interstellar.

I'm still in such a good mood. I can't wait to watch it again, in IMAX. I want to wait a week so it feels fresher, but I might not be able to! (4 viewings, opening Thursday 9/2/2021, 9/5/2021, 9/22/2021, 3/26/2022)"
Marvel Goes Full Kung-Fu,
"Martial Arts, Mythology and Magic.","A super smooth blend of magic, martial arts and mythology. The chemistry between the two leads is spot on and it's hilarious. Some of the best choreographey in the MCU and a really memorable villain. If you want the full experience, watch in a cinema and I'd personally recommend watching Iron Man 3 first."
Watch it.,"Go an watch this movie in theaters.. the story,effects,action, comedy,acting everything are awesome. PS : and you will get 2 post credit scenes."
Might have been a generous 7.5,"... but the previews ruined every single plot point.

When will they learn??"
Visual Chinese Martial Arts Masterpiece,"I'm a sucker for a good quality martial arts fight scene, and this has many of them. Every one is perfect. The movie has humor, heart, and really amazing fight scenes. I love the visual effects, the tradition and culture of the rich Chinese people, it overall just worked and I'm so excited to go see it for a second time."
Excellent,"Probably the best MCU origin movie since Gaurdians. Great martial arts action too. No shaky cam! The fight scenes are reminiscent if the older Jackie Chan movies of the 90s, which makes sense since his choreographer and crew worked on this movie."
"Definite 10 of 10! At the very top tier of MCU movies - characters, lore, acting, action, fighting, visual effects! :-)","The entire cast was perfect, especially Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Ben Kingsley, and Ronny Chieng! :-) Spectacular visual effects -and- awesome fight scenes! :-)"
Fun!,
Very Chinese propaganda,"Very Chinese propaganda movie , the man has eternal power and living through the ages still the only thing on his mind is America hayaaa such a lizard."
MCUs weakest link,"Easily the worst MCU movie. It was celarly made in a way to suck-up to chinese market and has 0 originality we used to get from MCU. Weak story, full of overblown efects and martial arts is a balet here. Childish elements too. In hollywoods ambition to prostitute themselves to market where they can make most money from the tickets - they abandoned true Marvel fans and created a good night story for children with nothing but cheap emotions."
What a Comeback,
"Very good, but...",
Ignore the 1* reviews. This is so much better than they're saying.,
A KNOCK OUT WIN FOR MARVEL!!!!!!,"This is not a superhero movie. This is a very entertaining and well acted Chinese film. A MUST SEE ABSOLUTELY WORTH YOUR TIME AND MONEY...

My Grade: A."
A great introduction,"A great introduction to a new Mcu hero, great marvel humor and can not wait to see more. They did the back story justice with this fresh take on the 10 rings."
The same but different,"When watching Shang- Chi you will almost immediately see that it follows the same formula as every other marvel movie, but there is one thing that this movie excels at and that is the choreography. The choreography is some of the best seen in the the marvel universe and maybe even in cinema in general. The character of Shang- chi (played by Simu Liu) is a great addition to the MCU, but I can not say the same for some of the other characters in the movie especially the character Katy.(played by Awkwafina). The character is very flat and childish making her almost annoying though I believe that this is the fault of the writers and not Awkwafina. Another aspect of this movie that I like is the cameos, while I will not mention them to avoid spoilers, I will say that they are definitely one of my favorite parts of not only this movie but of the MCU in general. All in all I give Shang-chi a 9 out of 10. Great movie."
Phase 4 here we come,"My expectations for this movie was low, maybe it's due to the fact that there wasn't much hype around it but men it delivered awesomely."
Best movie ever,This movie was perfect. Allot of action plus allot of comedy. This is the funniest marvel movie ever. Also the storyline is pretty good. Considering that this movie used to be a comic and now it's a movie it's pretty good and they did a good job on it.
Jackie Chan meets Donnie Yen meets Captain America,
Just ehh,The dialogue is terrible no really big character development. Fight scenes were fantastic though but everything else really wasn't that good.
Disappointing,"I'll start with the strong part of the movie and that is it's visuals. The visuals are dynamically spotless. If I keep it simple then the movie is a complete cinematic experience. If you are going for the big screen experience then you shouldn't miss it.

Now, except the cinematic experience. The movie lacks everywhere in terms of constructive and moving story telling. We only get to see incident after incidents and sometimes few of them doesn't make sense or felt forced as a scene.

Lastly I'll say the movie didn't fall into my taste of movies since I'm more into strong story telling than breathtaking visuals. Anyhow, I good one time forgettable watch."
An enjoyable ride throughout.,""" If you aim at nothing, you get nothing ""

Shang chi gets most of the part right with crazy action choreography which is undoubtedly the major attraction. First act is racy and has crazy action episodes and later, the recurring flashbacks served the story purpose but at the same time, slightly hindered the flow. Not a big issue though as the action part kicks in and makes up for it. Third act ten rings action visuals are pretty damn good and the water formation is breathtaking which reminded me of Raya.

New guy "" Simu Liu "" owned the Shang chi role, as his efforts are clearly visible on the screen. Especially during action episodes , he nailed it with his quick reflexes, even Meng'er Zhang as Chi's sister did put up an impressive act and Awkwafina provided a bit of humor with her quirky attitude . Fala Chen is so beautiful, i fell head over heels for her smile. The man, Tony Leung stood tall and delivered with panache, his presence worked big time. Always love to see Michelle Yeoh on the screen , she got that aura which pulls me in. Trevor and Morris stole the show, loved their bonding :)

Over all , with couple of surprises , good performances , amazing score , striking visuals and top notch action pieces makes this one an enjoyable ride throughout. Had a good time at the cinemas. Simu Liu is a fine addition to the MCU. Easily deserves solid 7-7.5 rating !!

First post credit scene is whistle worthy moment , JUST WOW!!!"
Cringe worthy,Seriously Marvel wtf?? Why is it so difficult for you to make a good movie??? What's wrong??? Classless and tasteless as always. Why is it so bad why is it so bad???? Why do you keep on disappointing us like this.
Entertaining,"It's an entertaining fantasy, action and adventure film. It has beautiful backdrops, settings, and costumes. The martial arts ballet and fighting has excellent choreography. The cinematography was colorful with strong compositions and it flowed well from action scenes to action scenes.

Awkwafina is funny and she provided the needed comedy relief. The story was a little busy for my taste but it still worked. The CGI was good but expected from a Marvel/Disney film."
Watchanle but opportunity missed.,"Ten Rings or is it Ten Bracelets? I will leave the research for you and the Marvel fans debate, and how accurate this movie is to the orignal comics. Focusing on this movie I must say it was flat right through until we get to the magical lands. Cultural mythical accuracy is sadly pushed aside by the writers and animators to retain a very standard plot. Characters' poor dialogues didnt help but the odd joke rarely did succeed. And I was very disappointed that there was a very poor attempt to capture the classical and contemporary Kung Fu element in the fights - it was limited and opportunity largely missed. If this movie was not apart of the next grandeur Marvel phase, I would have not be surprised to see another attempt/ reboot in five or ten years."
A very weal MCU movie,"I really dont get why this movie gets all this praise..... It starts fine with some fine marshall arts and a drop of humor. Then its slows down on to exposition hell for a while full hour, before it rounds of with a weak climax

One of the weakest MCU movies together with Black widow, Thor 2, Antman.2 and The hulk if it counts."
True Disappointment,"Fighting coreographies are really good, music is perfect. The rest is awful."
